Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100u/36V","CP_Elec_8x10",260.250000,-88.475000,0.000000,bottom
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",273.250000,-102.400000,270.000000,bottom
"Microstep1","Conn_02x03","PinHeader_2x03_P2.54mm_Vertical_SMD",250.000000,-88.475000,90.000000,bottom
"Analog2","Conn_01x03","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",273.000000,-112.650000,90.000000,top
"Analog3","Conn_01x03","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",273.000000,-125.350000,90.000000,top
"C1","10u/6.3V","C_0402_1005Metric",213.900000,-87.080000,270.000000,top
"C2","33p","C_0402_1005Metric",213.650000,-115.200000,0.000000,top
"C3","100n","C_0402_1005Metric",216.980000,-117.900000,0.000000,top
"C4","4.7u/36V","C_1206_3216Metric",214.700000,-123.825000,270.000000,top
"C5","10u/6.3V","C_0402_1005Metric",241.900000,-80.880000,270.000000,top
"C6","10u/6.3V","C_0402_1005Metric",224.900000,-121.420000,270.000000,top
"C8","10u/36V","C_1206_3216Metric",260.900000,-102.800000,270.000000,top
"C9","10u/6.3V","C_0402_1005Metric",201.100000,-119.520000,90.000000,top
"C10","10u/6.3V","C_0402_1005Metric",206.700000,-119.520000,90.000000,top
"C11","10u/6.3V","C_0402_1005Metric",207.100000,-121.380000,90.000000,top
"C12","10u/10V","C_0603_1608Metric",211.500000,-123.825000,270.000000,top
"C13","10u/6.3V","C_0402_1005Metric",269.800000,-99.000000,90.000000,top
"D1","D_Schottky","D_SOD-123",217.400000,-122.050000,270.000000,top
"D2","GREEN","LED_0805_2012Metric",265.000000,-68.400000,180.000000,top
"D3","RED","LED_0805_2012Metric",259.300000,-68.400000,0.000000,top
"D4","D_Schottky","D_SOD-123",210.800000,-99.050000,180.000000,top
"D5","D_Schottky","D_SOD-123",205.960000,-99.050000,180.000000,top
"D6","D_Schottky","D_SOD-123",210.800000,-101.500000,180.000000,top
"D7","D_Schottky","D_SOD-123",205.960000,-101.500000,180.000000,top
"D8","ORANGE","LED_0805_2012Metric",253.600000,-68.400000,180.000000,top
"D9","BLUE","LED_0805_2012Metric",247.900000,-68.400000,0.000000,top
