"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q1,Q5,Q3";"SOT-23";3;"2N7002";;;
2;"U2";"ESP-12E_SMD";1;"ESP-12F";;;
3;"R25,R24,R23,R22,R9";"R_0402_1005Metric";5;"0";;;
4;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"4 x AA(A)";;;
5;"C13,C11,C10,C9,C6,C5,C1";"C_0402_1005Metric";7;"10u/6.3V";;;
6;"R21,R18,R15,R11,R8,R7,R2";"R_0402_1005Metric";7;"10k";;;
7;"R14,R17";"R_0603_1608Metric";2;"4.3";;;
8;"R20,R19,R13";"R_0402_1005Metric";3;"1k";;;
9;"D9";"LED_0805_2012Metric";1;"BLUE";;;
10;"D8";"LED_0805_2012Metric";1;"ORANGE";;;
11;"BT2";"1043";1;"18650";;;
12;"H3,H2,H1";"MountingHole_3.7mm_Pad";3;"MountingHole_Pad";;;
13;"RESET1,PB2,PB1,FLASH1";"SW_SPST_EVQP7A";4;"SW_Push";;;
14;"TEMP1,Analog3,Analog2";"JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal";3;"Conn_01x03";;;
15;"StepperMotor1,PROG1";"JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal";2;"Conn_01x04";;;
16;"J5";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"Conn_01x02";;;
17;"U3";"SOT-89-3";1;"HT75xx-1-SOT89";;;
18;"U1";"SOIJ-8_5.3x5.3mm_P1.27mm";1;"ATtiny45-20SU";;;
19;"R16";"R_0603_1608Metric";1;"1.6k - 1.8k";;;
20;"R12,R6,R5";"R_0402_1005Metric";3;"4.7k";;;
21;"R10";"R_0402_1005Metric";1;"300k";;;
22;"R4";"R_0402_1005Metric";1;"47k";;;
23;"R3";"R_0402_1005Metric";1;"100k";;;
24;"R1";"R_0402_1005Metric";1;"33k";;;
25;"Q4,Q2";"SOT-23";2;"Si2319CDS";;;
26;"Microstep1";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Conn_02x03";;;
27;"L1";"L_Bourns-SRN4018";1;"3.3u";;;
28;"K1";"ADW1103HLW";1;"ADW1103HLW";;;
29;"J4";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Conn_01x02";;;
30;"J3";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack_Switch";;;
31;"J2";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Conn_02x03_Odd_Even";;;
32;"J1";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
33;"IC2";"SOT95P280X100-5N";1;"TP4054";;;
34;"IC1";"SOT95P280X145-6N";1;"MP2451DT-LF-Z";;;
35;"D7,D6,D5,D4,D1";"D_SOD-123";5;"D_Schottky";;;
36;"D3";"LED_0805_2012Metric";1;"RED";;;
37;"D2";"LED_0805_2012Metric";1;"GREEN";;;
38;"C12";"C_0603_1608Metric";1;"10u/10V";;;
39;"C8";"C_1206_3216Metric";1;"10u/36V";;;
40;"C7";"CP_Elec_8x10";1;"100u/36V";;;
41;"C4";"C_1206_3216Metric";1;"4.7u/36V";;;
42;"C3";"C_0402_1005Metric";1;"100n";;;
43;"C2";"C_0402_1005Metric";1;"33p";;;
44;"A1";"Pololu_Breakout-16_15.2x20.3mm";1;"Pololu_Breakout_A4988";;;
